Timestamp;Type;Details
2026-03-04 23:00:34;INFO;[FW] Rule removed: FW-Web-39c47e52-efb5-4281-aca2-e5d68f15c137
2026-03-04 22:59:33;INFO;[WEB] Login: tunar (Admin)
2026-03-04 22:59:28;INFO;[WEB] Failed login attempt for ''
2026-03-04 22:59:20;INFO;[WEB] started: http://localhost:2309/  |  LAN: http://192.168.1.70:2309/
2026-03-04 22:51:26;INFO;[WEB] Rule added: FW-Web-39c47e52-efb5-4281-aca2-e5d68f15c137 by tunar (Admin)
2026-03-04 22:51:26;INFO;[FW] Rule added: name=FW-Web-39c47e52-efb5-4281-aca2-e5d68f15c137 ip=192.168.1.65 port=0 proto=Any action=allow
2026-03-04 22:49:49;INFO;[WEB] App Rules ON by tunar
2026-03-04 22:49:49;INFO;[FW] App rules set enable=yes: 0 ok, 0 failed
2026-03-04 22:49:47;INFO;[WEB] Windows Firewall ON by tunar
2026-03-04 22:49:47;INFO;[FW] Firewall logging enabled (dropped + allowed)
2026-03-04 22:49:47;INFO;[FW] Windows Firewall set to ON
2026-03-04 22:49:26;INFO;[WEB] Rule removed: FW-98d3205c-8b03-4b7a-ade8-70788ffd0473 by tunar (Admin)
2026-03-04 22:49:26;INFO;[FW] Rule removed: FW-98d3205c-8b03-4b7a-ade8-70788ffd0473
2026-03-04 22:49:16;INFO;[WEB] Login: tunar (Admin)
2026-03-04 22:49:09;INFO;[WEB] Failed login attempt for ''
2026-03-04 22:46:02;RULE;ADDED Name=Any_192.168.1.65_0_Allow, IP=192.168.1.65, Port=0, Proto=Any, Act=Allow
2026-03-04 22:46:02;INFO;[FW] Rule added: name=FW-98d3205c-8b03-4b7a-ade8-70788ffd0473 ip=192.168.1.65 port=0 proto=Any action=allow
2026-03-04 22:45:55;RULE;REMOVED Name=Any_0.0.0.0_32_0_Allow, IP=0.0.0.0/32, Port=0, Proto=Any, Act=Allow
2026-03-04 22:45:55;INFO;[FW] Rule removed: FW-d43745b8-9966-4048-b780-39a33f84bd49
2026-03-04 22:45:36;RULE;ADDED Name=Any_0.0.0.0_0_Allow, IP=0.0.0.0, Port=0, Proto=Any, Act=Allow
2026-03-04 22:45:36;INFO;[FW] Rule added: name=FW-d43745b8-9966-4048-b780-39a33f84bd49 ip=0.0.0.0 port=0 proto=Any action=allow
2026-03-04 22:45:01;PING;PING 192.168.1.243 => TimedOut, time=0ms
2026-03-04 22:44:58;PING;PING 192.168.1.243 => TimedOut, time=0ms
2026-03-04 22:44:51;PING;PING 192.168.1.66 => Success, time=783ms
2026-03-04 22:44:48;PING;PING 192.168.1.66 => Success, time=433ms
2026-03-04 22:44:44;PING;PING 192.168.1.65 => Success, time=0ms
2026-03-04 22:44:43;PING;PING 192.168.1.65 => Success, time=0ms
2026-03-04 22:44:42;PING;PING 192.168.1.65 => Success, time=1ms
2026-03-04 22:44:40;PING;PING 192.168.1.65 => Success, time=0ms
2026-03-04 22:43:36;RULE;REMOVED Name=Any_192.168.1.65_32_0_Allow, IP=192.168.1.65/32, Port=0, Proto=Any, Act=Allow
2026-03-04 22:43:36;INFO;[FW] Rule removed: FW-196123df-6473-4489-b60e-1919bb396510
2026-03-04 22:43:11;RULE;ADDED Name=Any_192.168.1.65_0_Allow, IP=192.168.1.65, Port=0, Proto=Any, Act=Allow
2026-03-04 22:43:11;INFO;[FW] Rule added: name=FW-196123df-6473-4489-b60e-1919bb396510 ip=192.168.1.65 port=0 proto=Any action=allow
2026-03-04 22:41:21;APPFW;App firewall ENABLED
2026-03-04 22:41:21;INFO;[FW] App rules set enable=yes: 0 ok, 0 failed
2026-03-04 22:41:20;WINFW;Windows Firewall ENABLED
2026-03-04 22:41:20;INFO;[FW] Firewall logging enabled (dropped + allowed)
2026-03-04 22:41:19;INFO;[FW] Windows Firewall set to ON
2026-03-04 22:41:06;INFO;[FW] DisableBuiltinRules done: 391 disabled, 254 skipped, 71 failed
2026-03-04 22:40:53;INFO;[FW WARN] DisableBuiltin could not disable '@{Microsoft.AccountsControl_10.0.26100.1_neutral__cw5n1h2txyewy?ms-resource://Microsoft.AccountsControl/Resources/DisplayName}': netsh failed (exit 1): No rules match the specified criteria.
2026-03-04 22:40:53;INFO;[FW ERROR] netsh failed (exit 1): No rules match the specified criteria.  args=[advfirewall firewall set rule name="@{Microsoft.AccountsControl_10.0.26100.1_neutral__cw5n1h2txyewy?ms-resource://Microsoft.AccountsControl/Resources/DisplayName}" new enable=no]
